tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
107-13366,W ROOSEVELT RD,WESTBOUND,I-90/I-94/DAN RYAN EXPY W/UNION AVE,IL,COOK,60607,41.86725,-87.63924,41.86719,-87.6441,0.250793,7.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107-13367,W ROOSEVELT RD,WESTBOUND,S CANAL ST,IL,COOK,60607,41.86736,-87.6351,41.86725,-87.63924,0.214489,6.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107-13368,ROOSEVELT RD,WESTBOUND,S STATE ST,IL,COOK,60605,41.86752,-87.6242,41.86748,-87.62737,0.163574,4.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107-13369,E ROOSEVELT RD,WESTBOUND,S MICHIGAN AVE,IL,COOK,60605,41.86758,-87.6204,41.86752,-87.62407,0.189411,3.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107+13370,E ROOSEVELT RD,EASTBOUND,S COLUMBUS DR,IL,COOK,60605,41.8674,-87.62413,41.86745,-87.62041,0.191958,30.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107P13370,E ROOSEVELT RD,EASTBOUND,S COLUMBUS DR,IL,COOK,60605,41.86745,-87.62041,41.86745,-87.62034,0.003611,30.5,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107P13371,E ROOSEVELT RD,EASTBOUND,US-41/S LAKE SHORE DR,IL,COOK,60605,41.86748,-87.61899,41.86748,-87.6187,0.01496,32.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107-13365,W ROOSEVELT RD,WESTBOUND,S HALSTED ST,IL,COOK,60607,41.86718,-87.64516,41.86715,-87.64689,0.089275,9.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107-13370,E ROOSEVELT RD,WESTBOUND,S COLUMBUS DR,IL,COOK,60605,41.8676,-87.6189,41.86758,-87.6204,0.077446,2.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107+13371,E ROOSEVELT RD,EASTBOUND,US-41/S LAKE SHORE DR,IL,COOK,60605,41.86745,-87.62034,41.86748,-87.61899,0.069683,31.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107+13367,W ROOSEVELT RD,EASTBOUND,S CANAL ST,IL,COOK,60607,41.86719,-87.6441,41.86725,-87.63924,0.250793,26.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107N21071,ROOSEVELT RD,WESTBOUND,ROOSEVELT ROAD BRG,IL,COOK,60607,41.86737,-87.63438,41.86736,-87.6351,0.03715,5.001,America/Chicago,P3.2,USA,2025-01-31 10:30:00-05:00,null
107+13366,W ROOSEVELT RD,EASTBOUND,I-90/I-94/DAN RYAN EXPY W/UNION AVE,IL,COOK,60607,41.86715,-87.64689,41.86718,-87.64516,0.089275,24.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107P13368,ROOSEVELT RD,EASTBOUND,S STATE ST,IL,COOK,60605,41.86737,-87.62751,41.86737,-87.62736,0.007738,28.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107P13366,W ROOSEVELT RD,EASTBOUND,I-90/I-94/DAN RYAN EXPY W/UNION AVE,IL,COOK,60607,41.86718,-87.64516,41.86719,-87.6441,0.054695,25.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107P21071,ROOSEVELT RD,EASTBOUND,ROOSEVELT ROAD BRG,IL,COOK,60607,41.86725,-87.6351,41.86726,-87.63438,0.03715,27.001,America/Chicago,P3.2,USA,2025-01-31 10:30:00-05:00,null
107N13368,ROOSEVELT RD,WESTBOUND,S STATE ST,IL,COOK,60605,41.86748,-87.62737,41.86747,-87.62751,0.007255,5.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107+13369,E ROOSEVELT RD,EASTBOUND,S MICHIGAN AVE,IL,COOK,60605,41.86737,-87.62736,41.8674,-87.62413,0.166665,29.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107N13369,E ROOSEVELT RD,WESTBOUND,S MICHIGAN AVE,IL,COOK,60605,41.86752,-87.62407,41.86752,-87.6242,0.006706,2.5,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107+13368,ROOSEVELT RD,EASTBOUND,S STATE ST,IL,COOK,60605,41.86726,-87.63438,41.86737,-87.62751,0.354529,27.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107N13366,W ROOSEVELT RD,WESTBOUND,I-90/I-94/DAN RYAN EXPY W/UNION AVE,IL,COOK,60607,41.86719,-87.6441,41.86718,-87.64516,0.054695,8.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107+21071,ROOSEVELT RD,EASTBOUND,ROOSEVELT ROAD BRG,IL,COOK,60607,41.86725,-87.63924,41.86725,-87.6351,0.21456,7.001,America/Chicago,P3.2,USA,2025-01-31 10:30:00-05:00,null
107N13371,E ROOSEVELT RD,WESTBOUND,US-41/S LAKE SHORE DR,IL,COOK,60605,41.86748,-87.6187,41.8676,-87.6189,0.01323,1.0,America/Chicago,P1.11,USA,2025-01-31 10:30:00-05:00,null
107-21071,ROOSEVELT RD,WESTBOUND,ROOSEVELT ROAD BRG,IL,COOK,60607,41.86747,-87.62751,41.86737,-87.63438,0.3545,5.001,America/Chicago,P3.2,USA,2025-01-31 10:30:00-05:00,null
